bees,plants,repeat,total_trips,total_pollen_collected,avg_distance_per_bee,avg_trips_per_bee,total_plant_visits,plants_visited,visitation_rate,avg_pollen_level,pollen_per_distance,pollen_per_bee_per_step
200,10,9,13,935.0,2452.921377357576,0.065,29,10,1.0,0.065,0.0019058906833109223,0.004675
20,25,0,23,1045.0,1923.2715369802495,1.15,37,14,0.56,0.5820000000000001,0.027167250695155774,0.05225
20,25,1,17,935.0,2049.255129610289,0.85,32,13,0.52,0.6260000000000001,0.02281316724525684,0.04675
20,25,2,27,1145.0,1807.656938244579,1.35,40,17,0.68,0.542,0.03167083243991841,0.05725
20,25,3,16,795.0,2286.6839150342157,0.8,26,12,0.48,0.6819999999999999,0.017383250802026663,0.03975
20,25,4,16,830.0,2025.5951180780198,0.8,27,13,0.52,0.6679999999999999,0.020487806091958376,0.0415
20,25,5,18,825.0,1967.8324117490447,0.9,27,14,0.56,0.6699999999999998,0.020962150919821603,0.04125
20,25,6,21,900.0,2002.1610646918439,1.05,31,12,0.48,0.64,0.02247571426374033,0.045
20,25,7,18,785.0,1992.2079641715086,0.9,28,9,0.36,0.6859999999999999,0.01970175840368289,0.03925
20,25,8,27,1280.0,1874.0308810749539,1.35,43,18,0.72,0.48800000000000004,0.034150984728324896,0.064
20,25,9,26,1060.0,1976.9735418170917,1.3,38,13,0.52,0.576,0.02680865417717539,0.053
30,25,0,11,660.0,2237.93513763317,0.36666666666666664,21,11,0.44,0.7360000000000001,0.009830490450794342,0.022
30,25,1,25,1105.0,2039.1640982856384,0.8333333333333334,39,15,0.6,0.5579999999999999,0.018062956955891767,0.036833333333333336
30,25,2,37,1505.0,1882.8009480605533,1.2333333333333334,52,21,0.84,0.398,0.026644700130591416,0.050166666666666665
30,25,3,30,1435.0,1882.108083174964,1.0,49,18,0.72,0.426,0.025414764306544168,0.04783333333333333
30,25,4,24,1035.0,1932.2060696172955,0.8,35,13,0.52,0.586,0.017855238394336108,0.0345
30,25,5,23,1060.0,1982.9972964487367,0.7666666666666667,37,14,0.56,0.576,0.017818144985174842,0.035333333333333335
30,25,6,33,1480.0,1893.8238240993699,1.1,53,20,0.8,0.408,0.026049589568762754,0.04933333333333333
30,25,7,25,1150.0,2072.9223992433963,0.8333333333333334,39,16,0.64,0.54,0.01849241117145763,0.03833333333333333
30,25,8,31,1345.0,2036.5006767192344,1.0333333333333334,47,17,0.68,0.462,0.02201488752046919,0.044833333333333336
30,25,9,21,950.0,2149.1444359578363,0.7,32,12,0.48,0.62,0.014734545587929918,0.03166666666666667
40,25,0,25,1070.0,2061.3572368291566,0.625,38,12,0.48,0.5720000000000001,0.01297688703446069,0.02675
40,25,1,37,1665.0,2197.239829828436,0.925,56,20,0.8,0.33399999999999996,0.01894422239890406,0.041625
40,25,2,29,1440.0,2127.0068367548947,0.725,49,19,0.76,0.424,0.01692519242435724,0.036
40,25,3,30,1375.0,2062.694168120944,0.75,49,17,0.68,0.45,0.016665097779044312,0.034375
40,25,4,36,1455.0,1885.2493714647967,0.9,51,19,0.76,0.418,0.019294529705498553,0.036375
40,25,5,40,1730.0,1946.9561499867966,1.0,61,21,0.84,0.308,0.02221416234787481,0.04325
40,25,6,22,1125.0,1952.927587253956,0.55,38,16,0.64,0.55,0.014401455631822492,0.028125
40,25,7,36,1610.0,2145.7738410699376,0.9,53,21,0.84,0.3559999999999999,0.01875780160500527,0.04025
40,25,8,25,1160.0,2148.382553927421,0.625,40,15,0.6,0.536,0.01349852704165075,0.029
40,25,9,36,1685.0,2075.8813868371335,0.9,56,20,0.8,0.326,0.0202925852445658,0.042125
60,25,0,40,1725.0,2044.7252864486834,0.6666666666666666,61,21,0.84,0.31,0.014060568522597738,0.02875
60,25,1,27,1290.0,2082.5036803866083,0.45,45,17,0.68,0.48400000000000004,0.010324111406136201,0.0215
60,25,2,33,1655.0,2047.1410411618156,0.55,56,19,0.76,0.33799999999999997,0.013474075688345803,0.027583333333333335
60,25,3,52,2230.0,2037.6377259394487,0.8666666666666667,75,25,1.0,0.10799999999999998,0.018240075845440608,0.03716666666666667
60,25,4,32,1520.0,2120.811668129669,0.5333333333333333,54,18,0.72,0.392,0.011945112201157704,0.025333333333333333
60,25,5,38,1900.0,2228.7740815609063,0.6333333333333333,63,21,0.84,0.24,0.01420810970867408,0.03166666666666667
